TIPO_IMPORTACION,ESTADO_DECLARACION,FEC_INGRESO,DISTRITO,REGIMEN,SUBPARTIDA,CODIGO_COMPLEMENTARIO,CODIGO_SUPLEMENTARIO,DESCRIPCION_ARANCELARIA,PAIS_ORIGEN,CODIGO_LIBERACION,TRATAMIENTO_PREFERENCIAL,CONVENIO_INTERNACIONAL,TIPO_UNIDAD_FISICA,TIPO_UNIDAD_COMERCIAL,PESO_NETO,FOB,FLETE,SEGURO,CIF,CANTIDAD_FISICA,CANTIDAD_COMERCIAL,SALVAGUARDIA,SALVAGUARDIA_ESPECIFICA,FODINFA,ICE_ADVALOREM,ICE_ESPECIFICO,IVA,ADVALOREM,ADVALOREM_ESPECIFICO
IMP.GRAL.,10-SALIDA AUTORIZADA,2021-03-23,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,4009410000,0000,0000,Sin accesorios,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,KG-KILOGRAMO ,1.078,124.91,4.121,0.104,129.135,1.078,4,0.000,0.000,0.640,0.000,0.000,17.900,19.370,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2021-03-17,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,8414100000,0000,0000,Bombas de vacío,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,U-UNIDAD,4.985,1160.744,90.213,5.653,1256.61,2,2,0.000,0.000,6.280,0.000,0.000,151.550,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2021-03-10,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,6204490000,0000,0000,De las demás materias textiles,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,U-UNIDAD,9.49,184.8,7.917,1.928,194.645,30,30,0.000,0.000,0.970,0.000,0.000,32.080,19.480,52.200
IMP.GRAL.,10-SALIDA AUTORIZADA,2021-06-29,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,4009410000,0000,0000,Sin accesorios,GB-REINO UNIDO DE GRAN BRETAÑA,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,KG-KILOGRAMO ,1.7,172.28,6.892,0.145,179.317,1.7,1,0.000,0.000,0.900,0.000,0.000,24.850,26.900,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2021-02-18,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,4009410000,0000,0000,Sin accesorios,IN-INDIA,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,KG-KILOGRAMO ,0.5,21.29,0.84,0.017,22.147,0.5,2,0.000,0.000,0.110,0.000,0.000,3.070,3.320,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2021-01-18,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,4009410000,0000,0000,Sin accesorios,JP-JAPON,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,U-UNIDAD,0.44,73.89,3.918,0.062,77.87,0.44,2,0.000,0.000,0.390,0.000,0.000,10.790,11.680,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2021-01-06,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,4009410000,0000,0000,Sin accesorios,MX-MEXICO,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,U-UNIDAD,2.75,101.19,3.299,0.084,104.573,2.75,4,0.000,0.000,0.520,0.000,0.000,14.500,15.690,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2021-06-14,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,4009410000,0000,0000,Sin accesorios,IN-INDIA,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,U-UNIDAD,0.9,29.21,0.988,0.024,30.222,0.9,2,0.000,0.000,0.150,0.000,0.000,4.190,4.530,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2021-02-09,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,5911909090,0000,0000,Los demás,BR-BRASIL,NO APLICA,NO APLICA,0028-ACDO. COMP. ECO.CAN MERCOSUR-BRASIL ACE-59_( DEC. EJ. # 2675-A R.O. # 555 DEL 31 DE MARZO DEL 2005),31-KILOGRAMO BRUTO,U-UNIDAD,5.14,248,0,0.77,248.77,6.7,150,0.000,0.000,2.200,0.000,0.000,52.920,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2021-02-24,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,8414100000,0000,0000,Bombas de vacío,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,U-UNIDAD,4.36,196.45,33.88,2.3,232.63,2,2,0.000,0.000,1.160,0.000,0.000,28.060,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2021-06-23,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,3923299090,0000,0000,Los demás,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,CAJ-CAJA,5.583,259.74,21.223,0.846,281.809,2,2,0.000,0.000,1.410,0.000,0.000,40.750,56.360,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2021-01-15,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,4009410000,0000,0000,Sin accesorios,JP-JAPON,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,KG-KILOGRAMO ,0.23,13.58,0.426,0.011,14.017,0.23,1,0.000,0.000,0.070,0.000,0.000,1.940,2.100,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2021-04-16,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,4009410000,0000,0000,Sin accesorios,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,KG-KILOGRAMO ,1.937,342.98,12.013,0.287,355.28,1.937,9,0.000,0.000,1.780,0.000,0.000,49.240,53.290,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2021-05-03,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,8544421090,0000,0000,Los demás,ES-ESPAÑA,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,U-UNIDAD,5.373,678.15,21.195,6.994,706.339,5.373,3,0.000,0.000,3.530,0.000,0.000,97.900,105.950,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2021-03-03,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,2905122000,0000,0000,ALCOHOL ISOPROPILICO,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,U-UNIDAD,225.36,2445.59,481.224,19.915,2946.729,12,12,0.000,0.000,14.740,2221.100,79.370,631.430,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2021-04-12,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,8536610000,0000,0000,PORTALAMPARAS,CN-CHINA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,PZA-PIEZAS,5,488.48,41.3,5.3,535.08,9600,9600,0.000,0.000,2.680,0.000,0.000,67.740,26.750,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2021-04-23,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,9013100000,0000,0000,"MIRAS TELESCOPICAS PARA ARMAS; PERISCOPIOS; VISORES PARA MAQUINAS, APARATOS O INSTRUMENTOS DE ESTE CAPITULO O LA SECCION XVI",IT-ITALIA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,PZA-PIEZAS,1.231,2178.646,53.687,5.414,2237.747,4,4,0.000,0.000,11.190,0.000,0.000,269.870,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2021-02-10,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,4009410000,0000,0000,Sin accesorios,IN-INDIA,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,U-UNIDAD,0.997,66.353,3.178,0.075,69.606,1.037,2,0.000,0.000,0.350,0.000,0.000,9.650,10.440,0.000
