TIPO_IMPORTACION,ESTADO_DECLARACION,FEC_INGRESO,DISTRITO,REGIMEN,SUBPARTIDA,CODIGO_COMPLEMENTARIO,CODIGO_SUPLEMENTARIO,DESCRIPCION_ARANCELARIA,PAIS_ORIGEN,CODIGO_LIBERACION,TRATAMIENTO_PREFERENCIAL,CONVENIO_INTERNACIONAL,TIPO_UNIDAD_FISICA,TIPO_UNIDAD_COMERCIAL,PESO_NETO,FOB,FLETE,SEGURO,CIF,CANTIDAD_FISICA,CANTIDAD_COMERCIAL,SALVAGUARDIA,SALVAGUARDIA_ESPECIFICA,FODINFA,ICE_ADVALOREM,ICE_ESPECIFICO,IVA,ADVALOREM,ADVALOREM_ESPECIFICO
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-03-31,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,8414100000,0000,0000,Bombas de vacío,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,U-UNIDAD,10.068,9657.522,28.983,96.581,9783.086,16,16,0.000,0.000,48.910,0.000,0.000,1179.840,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-05-18,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,6802910000,0000,0000,"Mármol, travertinos y alabastro",CN-CHINA,NO APLICA,NO APLICA,NO APLICA,82-METRO CUADRADO,U-UNIDAD,0.94,36.48,0,0.15,36.63,0.01,5,0.000,0.000,0.200,0.000,0.000,5.950,9.500,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-01-10,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,3304990010,0000,0000,"   Preparaciones de belleza presentadas en gel inyectable, que contengan acido hialuronico.",BE-BELGICA,NO APLICA,NO APLICA,0800-PROTOCOLO DE ADHESION DEL ECUADOR AL ACUERDO COMERCIAL MULTIPARTES CON LA UNION EUROPEA,31-KILOGRAMO BRUTO,U-UNIDAD,17.97,13697.072,739.999,28.629,14465.7,165,165,0.000,0.000,72.330,0.000,0.000,1826.910,686.280,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-03-11,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,4009410000,0000,0000,Sin accesorios,DE-ALEMANIA,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,U-UNIDAD,16.727,811.04,0,0.841,811.881,16.727,74,0.000,0.000,4.680,0.000,0.000,127.500,121.930,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-04-26,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,8544421090,0000,0000,Los demás,CN-CHINA,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,PZA-PIEZAS,0.811,224.1,0,0,224.1,1.807,5,0.000,0.000,1.180,0.000,0.000,32.440,33.630,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-03-14,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,8480500000,0000,0000,Moldes para vidrio,ES-ESPAÑA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,U-UNIDAD,38.61,6610,503.4,66.1,7179.5,200,200,0.000,0.000,35.890,0.000,0.000,905.900,333.800,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-01-21,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,4009410000,0000,0000,Sin accesorios,FR-FRANCIA,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,KG-KILOGRAMO ,0.593,39.56,1.796,0.033,41.389,0.593,1,0.000,0.000,0.210,0.000,0.000,5.700,5.940,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-03-04,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,4009410000,0000,0000,Sin accesorios,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,KG-KILOGRAMO ,77.509,960.59,48.103,0.909,1009.602,77.509,1524,0.000,0.000,5.050,0.000,0.000,139.060,144.220,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-02-09,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,4009410000,0000,0000,Sin accesorios,JP-JAPON,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,KG-KILOGRAMO ,0.401,100.23,4.747,0.094,105.071,0.401,2,0.000,0.000,0.530,0.000,0.000,14.480,15.050,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-04-20,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,4009410000,0000,0000,Sin accesorios,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,KG-KILOGRAMO ,38.19,1235.85,96.58,1.199,1333.629,38.19,4572,0.000,0.000,6.670,0.000,0.000,183.110,185.550,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-03-07,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,8531200000,0000,0000,"TABLEROS INDICADORES CON DISPOSITIVOS DE CRISTAL LIQUIDO (LCD) O DIODOS EMISORES DE LUZ (LED), INCORPORADOS",TH-TAILANDIA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,U-UNIDAD,4.45,2893.75,37.49,0.77,2932.01,5,5,0.000,0.000,14.660,0.000,0.000,353.600,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-05-04,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,8414100000,0000,0000,Bombas de vacío,MY-MALAYSIA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,U-UNIDAD,0.779,1136.735,24.443,11.554,1172.732,3,3,0.000,0.000,5.860,0.000,0.000,141.430,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-03-02,019-GUAYAQUIL - AEREO,75-ALMACEN ESPECIAL,3923299090,0000,0000,Los demás,PA-PANAMA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,U-UNIDAD,22.326,116,4.965,1.209,122.174,400,400,0.000,0.000,0.610,0.000,0.000,14.730,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-02-04,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,4009410000,0000,0000,Sin accesorios,IN-INDIA,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,KG-KILOGRAMO ,0.23,10.66,0.42,0.01,11.09,0.23,1,0.000,0.000,0.060,0.000,0.000,1.530,1.600,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-05-24,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,1106201000,0000,0000, Maca (Lepidium meyenii),PE-PERU,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,BLS-BOLSA,1063.5,2000,423.6,20,2443.6,1000,20000,0.000,0.000,12.220,0.000,0.000,294.700,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-05-19,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,3917400000,0000,0000,Accesorios,CH-SUIZA,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,KG-KILOGRAMO ,158.85,3568.96,1488.13,35.69,5092.78,176.5,164,0.000,0.000,25.460,0.000,0.000,679.070,540.700,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-05-09,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,8544421090,0000,0000,Los demás,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,U-UNIDAD,0.403,78.172,9.217,0.782,88.171,2,2,0.000,0.000,0.440,0.000,0.000,12.050,11.840,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-03-18,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,4009410000,0000,0000,Sin accesorios,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,KG-KILOGRAMO ,4.674,534.26,34.052,0.512,568.824,4.674,3048,0.000,0.000,2.840,0.000,0.000,78.230,80.220,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-01-27,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,4009410000,0000,0000,Sin accesorios,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,U-UNIDAD,1.31,36.79,1.509,0.034,38.333,1.31,1,0.000,0.000,0.190,0.000,0.000,5.290,5.520,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-01-18,019-GUAYAQUIL - AEREO,75-ALMACEN ESPECIAL,8414100000,0000,0000,Bombas de vacío,DE-ALEMANIA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,PZA-PIEZAS,95.22,3520.93,480.86,40.02,4041.81,2,2,0.000,0.000,20.210,0.000,0.000,487.440,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-01-19,028-GUAYAQUIL - MARITIMO,10-IMPORTACION A CONSUMO,3923299090,0000,0000,Los demás,CN-CHINA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,U-UNIDAD,2990.882,100,102.815,1,203.815,6500,6500,0.000,0.000,1.020,0.000,0.000,24.580,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-01-12,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,2905122000,0000,0000,ALCOHOL ISOPROPILICO,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,U-UNIDAD,0.16,16.6,0,0.17,16.77,0.18,1,0.000,0.000,0.100,14.580,1.800,4.300,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-03-28,028-GUAYAQUIL - MARITIMO,10-IMPORTACION A CONSUMO,0511912000,0000,0000,Despojos de pescado,IA-AGUAS INTERNACIONALES,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,KG-KILOGRAMO ,1986101.362,357497.745,0,0.5,357498.245,1986101.362,1986101.362,0.000,0.000,1787.500,0.000,0.000,43114.350,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-01-07,028-GUAYAQUIL - MARITIMO,10-IMPORTACION A CONSUMO,8531200000,0000,0000,"TABLEROS INDICADORES CON DISPOSITIVOS DE CRISTAL LIQUIDO (LCD) O DIODOS EMISORES DE LUZ (LED), INCORPORADOS",MX-MEXICO,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,U-UNIDAD,0.63,230.28,7.812,0.387,238.479,1,1,0.000,0.000,1.190,0.000,0.000,28.760,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-02-23,037-MANTA,10-IMPORTACION A CONSUMO,8429590000,0000,0000,Las demás,CN-CHINA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,U-UNIDAD,199200,759724.67,0,8658.59,768383.26,10,10,0.000,0.000,4503.290,0.000,0.000,108619.430,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-03-07,028-GUAYAQUIL - MARITIMO,10-IMPORTACION A CONSUMO,7210709000,0000,0000,Los demás,CN-CHINA,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,TM-TONELADAS,13610,20295.88,6273.539,20.181,26589.6,13925,13.61,0.000,0.000,132.950,0.000,0.000,3206.710,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-03-21,028-GUAYAQUIL - MARITIMO,10-IMPORTACION A CONSUMO,8205300000,0000,0000,"Cepillos, formones, gubias y herramientas cortantes similares para trabajar madera",IN-INDIA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,U-UNIDAD,81.32,1360.865,97.336,1.324,1459.525,99,99,0.000,0.000,7.300,0.000,0.000,184.190,68.110,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-05-18,028-GUAYAQUIL - MARITIMO,10-IMPORTACION A CONSUMO,3917400000,0000,0000,Accesorios,ES-ESPAÑA,NO APLICA,NO APLICA,0800-PROTOCOLO DE ADHESION DEL ECUADOR AL ACUERDO COMERCIAL MULTIPARTES CON LA UNION EUROPEA,31-KILOGRAMO BRUTO,U-UNIDAD,3.32,112.51,0,0.72,113.23,3.32,12,0.000,0.000,0.600,0.000,0.000,15.240,8.150,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-05-18,028-GUAYAQUIL - MARITIMO,10-IMPORTACION A CONSUMO,8538100010,0000,0000,"Tableros y gabinetes para control industrial , electrónico y electromecánico, cajas de distribución",ES-ESPAÑA,NO APLICA,NO APLICA,0800-PROTOCOLO DE ADHESION DEL ECUADOR AL ACUERDO COMERCIAL MULTIPARTES CON LA UNION EUROPEA,11-NUMERO DE UNIDADES,U-UNIDAD,1173.9,8326.16,1627.4,99.54,10053.1,294,294,0.000,0.000,50.260,0.000,0.000,1212.390,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-02-01,028-GUAYAQUIL - MARITIMO,10-IMPORTACION A CONSUMO,2929101000,0000,0000,TOLUENDIISOCIANATO,BR-BRASIL,NO APLICA,NO APLICA,0028-ACDO. COMP. ECO.CAN MERCOSUR-BRASIL ACE-59_( DEC. EJ. # 2675-A R.O. # 555 DEL 31 DE MARZO DEL 2005),31-KILOGRAMO BRUTO,KG-KILOGRAMO ,1320,6256.8,666.026,16.306,6939.132,1320,1320,0.000,0.000,34.700,0.000,0.000,836.860,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-01-04,028-GUAYAQUIL - MARITIMO,10-IMPORTACION A CONSUMO,8711200010,0000,0014,En CKD. Tarifa arancelaria variable para modelos y versiones autorizadas para el ensamblaje por el Ministerio rector de la Política Industrial. MOE >= 18%,CN-CHINA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,U-UNIDAD,59579.49,300588.8,63879.09,386.95,364854.84,540,540,0.000,0.000,1824.270,0.000,0.000,44001.490,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-01-27,028-GUAYAQUIL - MARITIMO,10-IMPORTACION A CONSUMO,5911909090,0000,0000,Los demás,CA-CANADA,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,CAJ-CAJA,58.665,1476,70.884,0.34,1547.224,77.627,6,0.000,0.000,7.740,0.000,0.000,213.170,221.450,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-03-17,028-GUAYAQUIL - MARITIMO,10-IMPORTACION A CONSUMO,8443321900,0000,0000,Las demás,CN-CHINA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,U-UNIDAD,304.26,9562.26,124.67,44.63,9731.56,54,54,0.000,0.000,48.660,0.000,0.000,1231.280,480.350,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-05-13,028-GUAYAQUIL - MARITIMO,10-IMPORTACION A CONSUMO,4009410000,0000,0000,Sin accesorios,CN-CHINA,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,ROL-ROLLOS,9.12,72,10.92,0.72,83.64,36,36,0.000,0.000,0.420,0.000,0.000,11.400,10.920,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2022-04-12,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,4009410000,0000,0000,Sin accesorios,CN-CHINA,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,U-UNIDAD,0.4,25.569,0.806,0.024,26.399,0.4,1,0.000,0.000,0.130,0.000,0.000,3.640,3.840,0.000
