TIPO_IMPORTACION,ESTADO_DECLARACION,FEC_INGRESO,DISTRITO,REGIMEN,SUBPARTIDA,CODIGO_COMPLEMENTARIO,CODIGO_SUPLEMENTARIO,DESCRIPCION_ARANCELARIA,PAIS_ORIGEN,CODIGO_LIBERACION,TRATAMIENTO_PREFERENCIAL,CONVENIO_INTERNACIONAL,TIPO_UNIDAD_FISICA,TIPO_UNIDAD_COMERCIAL,PESO_NETO,FOB,FLETE,SEGURO,CIF,CANTIDAD_FISICA,CANTIDAD_COMERCIAL,SALVAGUARDIA,SALVAGUARDIA_ESPECIFICA,FODINFA,ICE_ADVALOREM,ICE_ESPECIFICO,IVA,ADVALOREM,ADVALOREM_ESPECIFICO
IMP.GRAL.,10-SALIDA AUTORIZADA,2018-11-27,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,3304990010,0000,0000,"   Preparaciones de belleza presentadas en gel inyectable, que contengan acido hialuronico.",FR-FRANCIA,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,U-UNIDAD,7.8,5856.09,340,30.98,6227.07,7.9,120,0.000,0.000,31.140,0.000,0.000,900.440,1245.420,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2018-11-12,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,4009410000,0000,0000,Sin accesorios,GB-REINO UNIDO DE GRAN BRETAÑA,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,KG-KILOGRAMO ,4.8,101.42,4.01,0.08,105.51,4.987,1,0.000,0.000,0.530,0.000,0.000,14.620,15.830,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2018-09-28,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,4009410000,0000,0000,Sin accesorios,"KR-COREA, REPUBLICA DE",NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,PZA-PIEZAS,1.758,33.8,0,0.433,34.233,4,4,0.000,0.000,0.210,0.000,0.000,6.070,6.560,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2018-10-31,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,5911909090,0000,0000,Los demás,DK-DINAMARCA,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,U-UNIDAD,16,925.76,0,12.4,938.16,27,32,0.000,0.000,6.260,0.000,0.000,173.530,187.810,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2018-12-05,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,3923299090,0000,0000,Los demás,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,U-UNIDAD,98.5,1960,0,34.941,1994.941,4000,4000,0.000,0.000,17.650,0.000,0.000,510.300,705.810,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2018-10-31,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,8480500000,0000,0000,Moldes para vidrio,CN-CHINA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,PZA-PIEZAS,1436,23533,10179.1,202.27,33914.37,317,317,0.000,0.000,169.550,0.000,0.000,4293.550,1695.710,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2018-08-08,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,8413819000,0000,0000,Las demás,JP-JAPON,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,U-UNIDAD,0.12,416.22,0,2.29,418.51,3,3,0.000,0.000,2.610,0.000,0.000,66.160,26.130,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2018-10-25,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,4009410000,0000,0000,Sin accesorios,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,KG-KILOGRAMO ,24,387.23,7.37,0.29,394.89,26.93,1981,0.000,0.000,1.980,0.000,0.000,54.730,59.230,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2018-10-09,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,4009410000,0000,0000,Sin accesorios,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,KG-KILOGRAMO ,1.2,71.84,2.91,0.06,74.81,1.2,2,0.000,0.000,0.370,0.000,0.000,10.370,11.230,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2018-07-16,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,4009410000,0000,0000,Sin accesorios,"KR-COREA, REPUBLICA DE",NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,U-UNIDAD,2.445,54.983,16.862,0.68,72.525,2.547,2,0.000,0.000,0.370,0.000,0.000,10.050,10.880,0.000
