TIPO_IMPORTACION,ESTADO_DECLARACION,FEC_INGRESO,DISTRITO,REGIMEN,SUBPARTIDA,CODIGO_COMPLEMENTARIO,CODIGO_SUPLEMENTARIO,DESCRIPCION_ARANCELARIA,PAIS_ORIGEN,CODIGO_LIBERACION,TRATAMIENTO_PREFERENCIAL,CONVENIO_INTERNACIONAL,TIPO_UNIDAD_FISICA,TIPO_UNIDAD_COMERCIAL,PESO_NETO,FOB,FLETE,SEGURO,CIF,CANTIDAD_FISICA,CANTIDAD_COMERCIAL,SALVAGUARDIA,SALVAGUARDIA_ESPECIFICA,FODINFA,ICE_ADVALOREM,ICE_ESPECIFICO,IVA,ADVALOREM,ADVALOREM_ESPECIFICO
IMP.GRAL.,10-SALIDA AUTORIZADA,2016-11-14,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,3923302000,0000,0001,Aplica certificado de reconocimiento solo para preformas que se destinarán a estar en contacto con alimentos.,SV-EL SALVADOR,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,MLL-MILLARES,392.5,672.34,2640.59,20,3332.93,15360,15.36,0.000,0.000,16.660,0.000,0.000,562.270,666.590,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2016-09-21,019-GUAYAQUIL - AEREO,"20-ADMISION TEMPORAL PARA REEXPORTACION EN EL MISMO ESTADO (CAMBIO DE BENEFICIARIO, CAMBIO DE OBRA)",9030310000,0000,0000,"MULTÍMETROS, SIN DISPOSITIVO REGISTRADOR",DE-ALEMANIA,"0413-Exención de tributos al comercio exterior a instituciones, empresas y organismos del sector público, incluidos los gobiernos autónomos descentralizados. Literal d) Art. 125 COPCI",NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,PZA-PIEZAS,0.29,75.6,0,0.81,76.41,1,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2016-12-02,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,5601210000,0000,0000,DE ALGODON,"KR-COREA, REPUBLICA DE",NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,PAQ-PAQUETE,114.04,320.201,42.16,0.58,362.941,1000,1000,0.000,0.000,1.810,0.000,0.000,58.690,54.440,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2016-12-05,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,8511909000,0000,0000,LAS DEMAS,MX-MEXICO,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,U-UNIDAD,14,496.92,10.32,0.38,507.62,6,6,0.000,0.000,2.530,0.000,0.000,71.420,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2016-07-06,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,8511909000,0000,0000,LAS DEMAS,IT-ITALIA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,U-UNIDAD,57,7645.28,0,81.35,7726.63,6,6,0.000,0.000,41.080,0.000,0.000,1156.070,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2016-07-01,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,8511909000,0000,0000,LAS DEMAS,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,U-UNIDAD,1.4,230.5,2.24,0.17,232.91,2,2,0.000,0.000,1.170,0.000,0.000,32.770,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2016-07-13,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,8504402000,0000,0000,ARRANCADORES ELECTRÓNICOS,CN-CHINA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,U-UNIDAD,4.593,1559.16,0,0.047,1559.207,4,4,236.940,0.000,7.900,0.000,0.000,266.480,78.980,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2016-09-09,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,8542900000,0000,0000,PARTES,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,U-UNIDAD,1.8,940.79,60.48,9.9,1011.17,4,4,0.000,0.000,5.060,0.000,0.000,142.270,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2016-07-27,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,7318190000,0000,0001,"LOS DEMAS_(solo para aquellas mercancías diferentes a ""pernos de cabeza de botón oval y sus tuercas""_NO INEN)",PE-PERU,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,U-UNIDAD,97.89,3791.584,5055.958,75.151,8922.693,97.89,309,1338.420,0.000,44.620,0.000,0.000,1755.100,2230.660,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2016-07-27,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,8481100000,0000,0000,Válvulas reductoras de presión. RTE INEN 008 y RTE INEN 226,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,PZA-PIEZAS,48.5,1576,0,7.77,1583.77,200,200,0.000,0.000,9.000,0.000,0.000,253.310,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2016-11-21,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,8511909000,0000,0000,LAS DEMAS,MX-MEXICO,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,U-UNIDAD,0.5,49.16,1.17,0.04,50.37,1,1,0.000,0.000,0.250,0.000,0.000,7.090,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2016-07-18,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,8708940000,0000,0000,"VOLANTES, COLUMNAS Y CAJAS DE DIRECCIÓN; SUS PARTES","KR-COREA, REPUBLICA DE",NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,PZA-PIEZAS,8.726,263.65,0,0.588,264.238,2,2,0.000,0.000,1.490,0.000,0.000,43.930,14.870,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2016-07-07,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,7307920000,0000,0001,SOLAMENTE PARA FORJADAS DE ACERO INOXIDABLE PARA PRESI¿N IGUAL O SUPERIOR A 150 PSI,CN-CHINA,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,U-UNIDAD,0.5,48.62,0.8,0.04,49.46,2,2,0.000,0.000,0.250,0.000,0.000,6.960,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2016-08-02,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,8414809000,0000,0000,LOS DEMAS,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,U-UNIDAD,7.89,483.26,0,5.466,488.726,1,1,0.000,0.000,2.850,0.000,0.000,84.320,28.540,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2016-08-17,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,8481100000,0000,0000,Válvulas reductoras de presión. RTE INEN 008 y RTE INEN 226,MX-MEXICO,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,U-UNIDAD,65.91,888.13,598.48,1.94,1488.55,10000,10000,0.000,0.000,7.440,0.000,0.000,209.440,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2016-07-13,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,3906909000,0000,0000,LOS DEMAS,NO-NORUEGA,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,KG-KILOGRAMO ,23.07,332.21,0,18.46,350.67,23.07,23.07,0.000,0.000,4.360,0.000,0.000,141.000,130.800,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2016-08-23,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,7318190000,0000,0001,"LOS DEMAS_(solo para aquellas mercancías diferentes a ""pernos de cabeza de botón oval y sus tuercas""_NO INEN)",JP-JAPON,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,U-UNIDAD,0.18,2.1,0.15,0.02,2.27,0.21,30,0.340,0.000,0.010,0.000,0.000,0.450,0.570,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2016-08-26,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,3920919000,0000,0000,LAS DEMÁS,CN-CHINA,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,U-UNIDAD,246.5,715,2224.93,10,2949.93,10,10,0.000,0.000,14.750,0.000,0.000,415.060,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2016-09-30,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,8708940000,0000,0000,"VOLANTES, COLUMNAS Y CAJAS DE DIRECCIÓN; SUS PARTES","KR-COREA, REPUBLICA DE",NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,PZA-PIEZAS,0.98,12.3,0,0.08,12.38,1,1,0.000,0.000,0.100,0.000,0.000,2.830,0.960,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2016-11-17,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,7415210000,0000,0000,ARANDELAS (INCLUIDAS LAS ARANDELAS DE MUELLE (RESORTE)),JP-JAPON,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,PZA-PIEZAS,0.026,3.069,0.06,0.002,3.131,0.027,2,0.000,0.000,0.020,0.000,0.000,0.510,0.470,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2016-11-25,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,8481100000,0000,0000,Válvulas reductoras de presión. RTE INEN 008 y RTE INEN 226,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,U-UNIDAD,6.6,636,455,25,1116,8,8,0.000,0.000,5.580,0.000,0.000,157.020,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2016-10-20,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,8542900000,0000,0000,PARTES,VN-VIETNAM,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,PZA-PIEZAS,2.2,158.5,41.49,0.44,200.43,11500,11500,0.000,0.000,1.000,0.000,0.000,28.200,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2016-11-08,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,3822003000,0000,0000,MATERIALES DE REFERENCIA CERTIFICADOS,CN-CHINA,NO APLICA,NO APLICA,NO APLICA,31-KILOGRAMO BRUTO,U-UNIDAD,5.268,259.391,0,3.09,262.481,6,6,0.000,0.000,1.840,0.000,0.000,51.710,0.000,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2016-09-05,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,5407940000,0000,0000,ESTAMPADOS,GB-REINO UNIDO DE GRAN BRETAÑA,NO APLICA,NO APLICA,NO APLICA,82-METRO CUADRADO,YAR-YARDAS,14.32,31.65,43.16,1.08,75.89,5,5,0.000,0.000,0.380,0.000,0.000,12.810,15.170,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2016-12-23,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,8708940000,0000,0000,"VOLANTES, COLUMNAS Y CAJAS DE DIRECCIÓN; SUS PARTES",GB-REINO UNIDO DE GRAN BRETAÑA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,U-UNIDAD,5.528,200.635,71.935,2.726,275.296,1,1,0.000,0.000,1.380,0.000,0.000,40.660,13.760,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2016-07-15,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,8708702000,0000,0000,"EMBELLECEDORES DE RUEDAS (TAPACUBOS, COPAS, VASOS) Y DEMAS ACCESORIOS",GB-REINO UNIDO DE GRAN BRETAÑA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,U-UNIDAD,14.069,171.21,0,0.15,171.36,13,13,0.000,0.000,1.010,0.000,0.000,31.200,20.170,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2016-11-24,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,4016993000,0000,0000,TAPONES,TW-TAIWAN,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,PZA-PIEZAS,0.895,346.576,0,0.043,346.619,2,2,126.350,0.000,1.810,0.000,0.000,81.120,90.250,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2016-11-21,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,8708702000,0000,0000,"EMBELLECEDORES DE RUEDAS (TAPACUBOS, COPAS, VASOS) Y DEMAS ACCESORIOS",IT-ITALIA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,U-UNIDAD,0.04,8.22,0.2,0.04,8.46,2,2,0.000,0.000,0.040,0.000,0.000,1.310,0.850,0.000
IMP.GRAL.,10-SALIDA AUTORIZADA,2016-11-17,019-GUAYAQUIL - AEREO,10-IMPORTACION A CONSUMO,8481100000,0000,0000,Válvulas reductoras de presión. RTE INEN 008 y RTE INEN 226,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,U-UNIDAD,2.12,146.31,27.182,1.628,175.12,11,11,0.000,0.000,0.880,0.000,0.000,24.640,0.000,0.000
