TIPO_IMPORTACION,ESTADO_DECLARACION,FEC_INGRESO,DISTRITO,REGIMEN,SUBPARTIDA,CODIGO_COMPLEMENTARIO,CODIGO_SUPLEMENTARIO,DESCRIPCION_ARANCELARIA,PAIS_ORIGEN,CODIGO_LIBERACION,TRATAMIENTO_PREFERENCIAL,CONVENIO_INTERNACIONAL,TIPO_UNIDAD_FISICA,PESO_NETO,FOB,FLETE,SEGURO,CIF,CANTIDAD_FISICA,SALVAGUARDIA,SALVAGUARDIA_ESPECIFICA,FODINFA,ICE_ADVALOREM,ICE_ESPECIFICO,IVA,ADVALOREM,ADVALOREM_ESPECIFICO
IMP.SMPL.,10-SALIDA AUTORIZADA,2016-02-10,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,4016999000,0000,0000,LAS DEMAS,DE-ALEMANIA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,0.270,61.150,9.940,0.710,71.800,7.00000,0.000,0.000,0.360,0.000,0.000,11.250,21.540,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2016-02-29,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,4016991000,0000,0000,OTROS ARTICULOS PARA USOS TECNICOS,RU-RUSIA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,22.880,1201.400,236.340,14.380,1452.120,30.00000,580.850,0.000,7.260,0.000,0.000,288.390,363.030,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2016-05-02,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,9006910000,0000,0000,DE CAMARAS FOTOGRAFICAS,HK-HONG KONG,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,1.900,59.000,52.000,1.110,112.110,1.00000,44.840,0.000,0.560,0.000,0.000,21.590,22.420,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2016-02-29,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,9006910000,0000,0000,DE CAMARAS FOTOGRAFICAS,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,4.260,198.000,6.390,2.040,206.430,1.00000,82.570,0.000,1.030,0.000,0.000,39.760,41.290,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2016-02-09,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,6903909000,0000,0000,LOS DEMAS,DE-ALEMANIA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,12.930,1355.580,19.400,13.750,1388.730,10.00000,0.000,0.000,6.940,0.000,0.000,175.810,69.440,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2016-05-09,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8501530000,0000,0000,DE POTENCIA SUPERIOR A 75 KW,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,6.080,279.740,9.120,2.890,291.750,1.00000,0.000,0.000,1.460,0.000,0.000,36.940,14.590,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2016-01-10,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,4016999000,0000,0000,LAS DEMAS,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,0.030,2.720,0.050,0.030,2.800,10.00000,1.260,0.000,0.010,0.000,0.000,0.590,0.840,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2016-05-31,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8483409200,0000,0000,"ENGRANAJES Y RUEDAS DE FRICCIÓN, EXCEPTO LAS RUEDAS DENTADAS Y DEMÁS ÓRGANOS ELEMENTALES DE TRANSMISIÓN PRESENTADOS AISLADAMENTE",CN-CHINA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,26.000,545.080,120.000,6.650,671.730,10.00000,0.000,0.000,3.360,0.000,0.000,81.010,0.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2016-04-11,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8483409200,0000,0000,"ENGRANAJES Y RUEDAS DE FRICCIÓN, EXCEPTO LAS RUEDAS DENTADAS Y DEMÁS ÓRGANOS ELEMENTALES DE TRANSMISIÓN PRESENTADOS AISLADAMENTE",US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,2.490,151.900,3.735,1.554,157.189,4.00000,0.000,0.000,0.780,0.000,0.000,18.960,0.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2016-01-12,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8523599000,0000,0000,LOS DEMÁS,RU-RUSIA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,0.300,19.950,0.450,0.204,20.604,20.00000,9.270,0.000,0.100,0.000,0.000,4.210,5.150,0.000
