TIPO_IMPORTACION,ESTADO_DECLARACION,FEC_INGRESO,DISTRITO,REGIMEN,SUBPARTIDA,CODIGO_COMPLEMENTARIO,CODIGO_SUPLEMENTARIO,DESCRIPCION_ARANCELARIA,PAIS_ORIGEN,CODIGO_LIBERACION,TRATAMIENTO_PREFERENCIAL,CONVENIO_INTERNACIONAL,TIPO_UNIDAD_FISICA,PESO_NETO,FOB,FLETE,SEGURO,CIF,CANTIDAD_FISICA,SALVAGUARDIA,SALVAGUARDIA_ESPECIFICA,FODINFA,ICE_ADVALOREM,ICE_ESPECIFICO,IVA,ADVALOREM,ADVALOREM_ESPECIFICO
IMP.SMPL.,10-SALIDA AUTORIZADA,2022-02-05,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,3917299900,0000,0000,Los demás,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,0.030,9.610,0.040,0.100,9.750,1.00000,0.000,0.000,0.050,0.000,0.000,1.180,0.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2022-04-18,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8515110000,0000,0000,SOLDADORES Y PISTOLAS PARA SOLDAR,HK-HONG KONG,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,2.370,30.000,3.560,0.300,33.860,1.00000,0.000,0.000,0.170,0.000,0.000,4.080,0.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2022-01-13,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,6109100000,0000,0000,De algodón,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,23.520,558.160,35.250,5.580,598.990,144.00000,0.000,0.000,2.990,0.000,0.000,94.530,56.370,129.360
IMP.SMPL.,10-SALIDA AUTORIZADA,2022-01-27,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8448490000,0000,0000,Los demás,AT-AUSTRIA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,2.370,2184.290,88.040,21.840,2294.170,48.00000,0.000,0.000,11.470,0.000,0.000,276.680,0.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2022-03-24,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8483609000,0000,0000,LOS DEMÁS,BR-BRASIL,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,7.000,66.560,53.590,0.670,120.820,8.00000,0.000,0.000,0.600,0.000,0.000,14.570,0.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2022-05-30,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8515809000,0000,0000,LOS DEMÁS,HK-HONG KONG,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,0.780,50.000,1.130,0.500,51.630,1.00000,0.000,0.000,0.260,0.000,0.000,6.230,0.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2022-05-03,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8416900000,0000,0000,Partes,IT-ITALIA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,56.630,948.980,137.470,9.490,1095.940,1635.00000,0.000,0.000,5.480,0.000,0.000,132.170,0.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2022-05-12,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,4016920000,0000,0000,Gomas de borrar,HK-HONG KONG,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,8.100,37.000,92.570,0.370,129.940,320.00000,0.000,0.000,0.650,0.000,0.000,16.790,9.340,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2022-05-15,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8424490000,0000,0000,Los demás,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,5.360,128.390,8.040,1.284,137.714,1.00000,0.000,0.000,0.690,0.000,0.000,16.610,0.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2022-05-07,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8515110000,0000,0000,SOLDADORES Y PISTOLAS PARA SOLDAR,HK-HONG KONG,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,1.810,94.250,2.700,0.940,97.890,10.00000,0.000,0.000,0.490,0.000,0.000,11.810,0.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2022-02-21,055-QUITO,91-COURIER IMPORTACION,9209990000,0000,0000,LOS DEMAS,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,10.230,3345.240,15.350,33.460,3394.050,340.00000,0.000,0.000,16.980,0.000,0.000,409.330,0.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2022-04-05,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8515110000,0000,0000,SOLDADORES Y PISTOLAS PARA SOLDAR,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,0.540,51.450,0.810,0.250,52.510,1.00000,0.000,0.000,0.260,0.000,0.000,6.330,0.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2022-02-19,055-QUITO,91-COURIER IMPORTACION,8713900000,0000,0000,LOS DEMAS,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,45.630,899.990,68.445,9.000,977.435,1.00000,0.000,0.000,4.890,0.000,0.000,117.880,0.000,0.000
