date,tip_import,iso,pais,pais_lat,pais_lng,distr_code,distr_name,cty_ref,cty_lat,cty_lng,titulo,chap,fob,flete,insurance,cif,salvaguardia,salvaguardia_espec,fodinfa,ice_advalorem,ice_espec,iva,advalorem,advalorem_espec,duties
2014-01,IMP.GRAL.,AE,Emiratos Arabes Unidos,23.424076,53.847818,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833, Caucho y sus manufacturas,40,281.292,30.099,1.245,312.636,0.0,0.0,1.56,0.0,0.0,37.7,0.0,0.0,39.260000000000005
2014-01,IMP.GRAL.,AE,Emiratos Arabes Unidos,23.424076,53.847818,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Instrumentos y aparatos de óptica, fotografía o cinematografía, de medida, control o precisión; instrumentos y aparatos medicoquirúrgicos; partes y accesorios de estos instrumentos o aparatos",90,616.731,65.993,2.73,685.454,0.0,0.0,3.42,0.0,0.0,82.65,0.0,0.0,86.07000000000001
2014-01,IMP.GRAL.,AE,Emiratos Arabes Unidos,23.424076,53.847818,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Manufacturas de fundición, hierro o acero",73,92.048,9.848,0.407,102.303,0.0,0.0,0.5,0.0,0.0,14.78,20.45,0.0,35.73
2014-01,IMP.GRAL.,AE,Emiratos Arabes Unidos,23.424076,53.847818,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833, Manufacturas diversas de metal común,83,281.328,30.1,1.239,312.667,0.0,0.0,1.52,0.0,0.0,43.26,46.86,0.0,91.64
2014-01,IMP.GRAL.,AE,Emiratos Arabes Unidos,23.424076,53.847818,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Máquinas, aparatos y material eléctrico, y sus partes; aparatos de grabación o reproducción de sonido, aparatos de grabación o reproducción de imagen y sonido en televisión, y las partes y accesorios de estos aparatos",85,464.857,49.742,2.057,516.656,0.0,0.0,2.57,0.0,0.0,62.29,0.0,0.0,64.86
2014-01,IMP.GRAL.,AE,Emiratos Arabes Unidos,23.424076,53.847818,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Reactores nucleares, calderas, máquinas, aparatos y artefactos mecánicos; partes de estas máquinas o aparatos",84,3359.505,359.48,14.863,3733.848,0.0,0.0,18.53,0.0,0.0,450.77,5.11,0.0,474.41
2014-01,IMP.GRAL.,AE,Emiratos Arabes Unidos,23.424076,53.847818,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Vehículos automóviles, tractores, velocípedos y demás vehículos terrestres; sus partes y accesorios",87,4903.535,524.697,21.693,5449.925,0.0,0.0,26.990000000000002,0.0,0.0,680.38,195.31,0.0,902.6800000000001
2014-01,IMP.GRAL.,AE,Emiratos Arabes Unidos,23.424076,53.847818,028,Guayaquil-Maritimo,Guayaquil,-2.1833,-79.8833, Caucho y sus manufacturas,40,130.6,0.0,0.33,130.93,0.0,0.0,0.65,0.0,0.0,18.25,19.75,0.0,38.65
2014-01,IMP.GRAL.,AE,Emiratos Arabes Unidos,23.424076,53.847818,028,Guayaquil-Maritimo,Guayaquil,-2.1833,-79.8833," Manufacturas de fundición, hierro o acero",73,8856.935,0.0,14.370999999999999,8871.306,0.0,0.0,55.77,0.0,0.0,1446.65,827.88,0.0,2330.3
2014-01,IMP.GRAL.,AE,Emiratos Arabes Unidos,23.424076,53.847818,028,Guayaquil-Maritimo,Guayaquil,-2.1833,-79.8833," Reactores nucleares, calderas, máquinas, aparatos y artefactos mecánicos; partes de estas máquinas o aparatos",84,3377.4700000000003,0.0,8.54,3386.0099999999998,0.0,0.0,17.0,0.0,0.0,410.82,0.0,0.0,427.82
